Gene	CHR	nSNP
AXIN2	17	33
AXL	19	14
AZGP1	7	6
AZI1	17	50
AZI2	3	5
AZIN1	8	7
AZU1	19	10
B3GALNT1	3	3
B3GALNT2	1	11
B3GALT1	2	5
B3GALT2	1	5
B3GALT4	6	2
B3GALT5	21	9
B3GALT6	1	3
B3GALTL	13	13
B3GAT1	11	4
B3GAT3	11	4
B3GNT1	11	2
B3GNT2	2	6
B3GNT3	19	13
B3GNT4	12	13
B3GNT5	3	7
B3GNT6	11	6
B3GNT7	2	7
B3GNT8	19	12
B3GNT9	16	2
B3GNTL1	17	23
B4GALNT1	12	10
B4GALNT2	17	29
B4GALNT3	12	53
B4GALNT4	11	20
B4GALT1	9	4
B4GALT2	1	6
B4GALT3	1	9
B4GALT4	3	5
B4GALT5	20	9
B4GALT6	18	6
B4GALT7	5	10
B9D1	17	7
B9D2	19	3
BAALC	8	6
BAAT	9	12
BABAM1	19	6
BACE1	11	9
BACE2	21	3
BACH1	21	16
BACH2	6	19
BAD	11	2
BAG1	9	10
BAG2	6	2
BAG3	10	22
BAG4	8	9
BAG5	14	6
BAG6	6	14
BAHCC1	17	40
BAHD1	15	21
BAI1	8	8
BAI2	1	25
BAI3	6	19
BAIAP2	17	12
BAIAP2L1	7	25
BAIAP2L2	22	8
BAIAP3	16	43
BAK1	6	2
BAMBI	10	9
BANF2	20	3
BANK1	4	27
BANP	16	3
BAP1	3	5
BARD1	2	31
BARHL1	9	2
BARHL2	1	6
BARX1	9	3
BARX2	11	6
BASP1	5	3
BATF2	11	6
BAX	19	1
BAZ1A	14	16
BAZ1B	7	14
BAZ2A	12	28
BAZ2B	2	49
BBC3	19	2
BBIP1	10	2
BBOX1	11	14
BBS1	11	18
BBS10	12	20
BBS12	4	25
BBS2	16	21
BBS4	15	18
BBS5	2	8
BBS7	4	15
BBS9	7	31
BBX	3	23
BCAM	19	35
BCAN	1	20
BCAP29	7	10
BCAP31	X	4
BCAR1	16	24
BCAR3	1	30
BCAS1	20	31
BCAS2	1	1
BCAS3	17	13
BCAS4	20	10
BCAT1	12	10
BCAT2	19	15
BCCIP	10	17
BCDIN3D	12	10
BCHE	3	30
BCKDHA	19	9
BCKDHB	6	11
BCKDK	16	4
BCL10	1	5
BCL11A	2	3
BCL11B	14	4
BCL2	18	1
BCL2A1	15	8
BCL2L1	20	1
BCL2L10	15	2
BCL2L11	2	6
BCL2L12	19	11
BCL2L13	22	16
BCL2L14	12	12
BCL2L15	1	6
BCL2L2	14	3
BCL2L2-PABPN1	14	4
BCL3	19	7
BCL6	3	15
BCL6B	17	7
BCL7A	12	7
BCL7B	7	1
BCL9	1	30
BCL9L	11	20
BCLAF1	6	37
BCMO1	16	26
BCO2	11	27
BCOR	X	23
BCORL1	X	20
BCR	22	15
BCS1L	2	12
BDH1	3	16
BDH2	4	13
BDKRB1	14	11
BDKRB2	14	14
BDNF	11	8
BDP1	5	86
BEAN1	16	4
BECN1	17	5
BEGAIN	14	4
BEND2	X	10
BEND3	6	14
BEND4	4	8
BEND5	1	3
BEND6	6	6
BEND7	10	11
BEST1	11	24
BEST2	19	14
BEST3	12	25
BEST4	1	8
BET1	7	1
BET1L	11	7
BET3L	6	4
BEX1	X	2
BEX2	X	2
BEX4	X	1
BEX5	X	1
BFAR	16	18
BFSP1	20	18
BFSP2	3	18
BGLAP	1	7
BGN	X	4
BHLHB9	X	8
BHLHE22	8	2
BHLHE23	20	1
BHLHE40	3	8
BHLHE41	12	2
BHMT	5	10
BHMT2	5	12
BICC1	10	28
BICD1	12	16
BICD2	9	17
BID	22	7
BIK	22	8
BIN1	2	15
BIN2	12	18
BIN3	8	5
BIRC2	11	11
BIRC3	11	9
BIRC5	17	7
BIRC6	2	54
BIRC7	20	14
BIRC8	19	18
BIVM	13	11
BLCAP	20	1
BLID	11	8
BLK	8	22
BLM	15	47
BLMH	17	5
BLNK	10	12
BLOC1S1	12	2
BLOC1S2	10	1
BLOC1S3	19	4
BLOC1S4	4	2
BLOC1S5	6	9
BLOC1S5-TXNDC5	6	4
BLOC1S6	15	1
BLVRA	7	14
BLVRB	19	9
BLZF1	1	18
BMF	15	4
BMP1	8	23
BMP10	2	9
BMP15	X	15
BMP2	20	6
BMP2K	4	26
BMP3	4	16
BMP4	14	8
BMP5	6	11
BMP6	6	11
BMP7	20	12
BMP8A	1	1
BMP8B	1	4
BMPER	7	22
BMPR1A	10	4
BMPR1B	4	14
BMPR2	2	20
BMS1	10	24
BMX	X	6
BNC1	15	16
BNC2	9	27
BNIP1	5	5
BNIP2	15	11
BNIP3	10	1
BNIP3L	8	1
BNIPL	1	18
BOC	3	38
BOD1	5	1
BOD1L1	4	83
BOD1L2	18	3
BOK	2	9
BOLA1	1	3
BOLA3	2	5
BOLL	2	4
BOP1	8	1
BORA	13	16
BPGM	7	4
BPHL	6	18
BPI	20	32
BPIFA1	20	10
BPIFA2	20	12
BPIFA3	20	17
BPIFB1	20	27
BPIFB2	20	22
BPIFB3	20	30
BPIFB4	20	40
BPIFB6	20	28
BPIFC	22	22
BPNT1	1	6
BPTF	17	32
BRAF	7	1
BRAP	12	9
BRAT1	7	33
BRCA1	17	740
BRCA2	13	1357
BRCC3	X	4
BRD1	22	14
BRD2	6	20
BRD3	9	8
BRD4	19	13
BRD7	16	7
BRD8	5	28
BRD9	5	8
BRDT	1	25
BRE	2	10
BRF1	14	12
BRF2	8	14
BRI3	7	4
BRI3BP	12	2
BRIP1	17	26
BRIX1	5	6
BRMS1	11	8
BRMS1L	14	7
BROX	1	8
BRPF1	3	9
BRPF3	6	15
BRS3	X	5
BRSK1	19	6
BRSK2	11	8
BRWD1	21	44
BRWD1-IT2	21	1
BRWD3	X	12
BSCL2	11	15
BSDC1	1	8
BSG	19	15
BSN	3	78
BSND	1	13
BSPH1	19	3
BSPRY	9	17
BST1	4	18
BST2	19	5
BSX	11	4
BTAF1	10	18
BTBD1	15	6
BTBD10	11	3
BTBD11	12	22
BTBD16	10	27
BTBD17	17	2
BTBD18	11	3
BTBD19	1	6
BTBD2	19	9
BTBD3	20	7
BTBD6	14	1
BTBD7	14	20
BTBD8	1	11
BTBD9	6	10
BTC	4	13
BTD	3	30
BTF3	5	2
BTG1	12	1
BTG2	1	1
BTG3	21	3
BTG4	11	8
BTK	X	3
BTLA	3	6
BTN1A1	6	20
BTN2A1	6	17
BTN2A2	6	22
BTN2A3P	6	1
BTN3A1	6	14
BTN3A2	6	6
BTN3A3	6	18
BTNL10	1	1
BTNL2	6	34
BTNL3	5	7
BTNL8	5	19
BTNL9	5	11
BTRC	10	15
BUB1	2	13
BUB1B	15	32
BUB3	10	1
BUD13	11	21
BUD31	7	1
BVES	6	11
BYSL	6	12
BZRAP1	17	56
BZW1	2	4
BZW2	7	2
C10orf10	10	8
C10orf105	10	4
C10orf107	10	11
C10orf11	10	9
C10orf111	10	10
C10orf112	10	3
C10orf113	10	10
C10orf114	10	3
C10orf116	10	3
C10orf118	10	16
C10orf12	10	42
C10orf120	10	18
C10orf128	10	9
C10orf129	10	15
C10orf131	10	1
C10orf137	10	15
C10orf2	10	13
C10orf25	10	6
C10orf32	10	1
C10orf35	10	4
C10orf47	10	16
C10orf53	10	8
C10orf54	10	13
C10orf55	10	1
C10orf57	10	9
C10orf62	10	11
C10orf67	10	3
C10orf68	10	24
C10orf71	10	49
C10orf76	10	7
C10orf82	10	5
C10orf88	10	16
C10orf90	10	32
C10orf91	10	5
C10orf95	10	1
C10orf99	10	4
C11orf1	11	7
C11orf10	11	1
C11orf16	11	19
C11orf20	11	5
C11orf21	11	2
C11orf24	11	19
C11orf30	11	17
C11orf31	11	2
C11orf34	11	2
C11orf35	11	25
C11orf40	11	12
C11orf42	11	9
C11orf45	11	6
C11orf48	11	9
C11orf49	11	13
C11orf52	11	5
C11orf53	11	4
C11orf54	11	7
C11orf57	11	4
C11orf58	11	1
C11orf63	11	27
C11orf65	11	12
C11orf67	11	9
C11orf68	11	4
C11orf70	11	6
C11orf71	11	8
C11orf72	11	1
C11orf73	11	3
C11orf74	11	5
C11orf80	11	10
C11orf82	11	23
C11orf83	11	4
C11orf84	11	7
C11orf85	11	3
C11orf86	11	2
C11orf87	11	3
C11orf88	11	11
C11orf9	11	22
C11orf93	11	2
C11orf94	11	8
C11orf96	11	1
C12orf10	12	19
C12orf23	12	2
C12orf29	12	4
C12orf36	12	1
C12orf39	12	6
C12orf4	12	12
C12orf40	12	22
C12orf42	12	14
C12orf43	12	9
C12orf44	12	1
C12orf45	12	5
C12orf49	12	6
C12orf5	12	7
C12orf50	12	20
C12orf52	12	8
C12orf54	12	10
C12orf55	12	5
C12orf56	12	19
C12orf57	12	4
C12orf60	12	13
C12orf61	12	1
C12orf65	12	5
C12orf66	12	5
C12orf68	12	4
C12orf69	12	8
C12orf70	12	12
C12orf71	12	13
C12orf73	12	3
C12orf74	12	8
C12orf76	12	3
C12orf77	12	7
C13orf33	13	9
C13orf35	13	4
C14orf1	14	2
C14orf101	14	26
C14orf102	14	43
C14orf105	14	19
C14orf118	14	7
C14orf119	14	4
C14orf129	14	3
C14orf142	14	1
C14orf159	14	35
C14orf166	14	5
C14orf166B	14	23
C14orf176	14	5
C14orf177	14	11
C14orf178	14	3
C14orf180	14	10
C14orf182	14	7
C14orf183	14	10
C14orf2	14	3
C14orf28	14	9
C14orf37	14	22
C14orf38	14	13
C14orf39	14	21
C14orf43	14	26
C14orf45	14	25
C14orf79	14	13
C14orf80	14	23
C14orf93	14	12
C15orf23	15	19
C15orf26	15	9
C15orf27	15	14
C15orf29	15	2
C15orf32	15	8
C15orf38	15	8
C15orf38-AP3S2	15	12
C15orf39	15	38
C15orf40	15	11
C15orf41	15	7
C15orf43	15	4
C15orf44	15	9
C15orf48	15	4
C15orf52	15	18
C15orf53	15	7
C15orf54	15	6
C15orf55	15	39
C15orf56	15	3
C15orf57	15	3
C15orf59	15	6
C15orf60	15	11
C15orf61	15	2
C15orf62	15	2
C15orf63	15	7
C16orf11	16	5
C16orf13	16	8
C16orf3	16	6
C16orf45	16	7
C16orf46	16	22
C16orf48	16	10
C16orf5	16	1
C16orf52	16	1
C16orf53	16	1
C16orf54	16	3
C16orf55	16	11
C16orf58	16	14
C16orf59	16	9
C16orf62	16	30
C16orf7	16	17
C16orf70	16	7
C16orf71	16	25
C16orf72	16	4
C16orf74	16	2
C16orf78	16	9
C16orf79	16	16
C16orf80	16	3
C16orf86	16	1
C16orf88	16	15
C16orf89	16	18
C16orf90	16	5
C16orf91	16	18
C16orf92	16	4
C16orf93	16	10
C16orf95	16	5
C16orf96	16	23
C17orf100	17	3
C17orf101	17	19
C17orf102	17	7
C17orf104	17	10
C17orf107	17	2
C17orf108	17	1
C17orf28	17	14
C17orf47	17	16
C17orf49	17	6
C17orf50	17	3
C17orf51	17	1
C17orf53	17	27
C17orf58	17	5
C17orf59	17	3
C17orf61	17	1
C17orf61-PLSCR3	17	1
C17orf62	17	8
C17orf64	17	9
C17orf65	17	5
C17orf66	17	30
C17orf67	17	6
C17orf70	17	24
C17orf72	17	5
C17orf74	17	15
C17orf75	17	2
C17orf77	17	16
C17orf78	17	5
C17orf79	17	2
C17orf80	17	33
C17orf82	17	9
C17orf85	17	9
C17orf97	17	6
C17orf98	17	4
C17orf99	17	7
C18orf1	18	6
C18orf21	18	5
C18orf25	18	6
C18orf26	18	8
C18orf32	18	1
C18orf34	18	23
C18orf42	18	1
C18orf54	18	15
C18orf56	18	5
C18orf62	18	4
C18orf63	18	6
C18orf8	18	14
C19orf10	19	5
C19orf12	19	5
C19orf18	19	7
C19orf21	19	34
C19orf24	19	1
C19orf25	19	2
C19orf26	19	13
C19orf33	19	1
C19orf35	19	5
C19orf38	19	3
C19orf40	19	12
C19orf42	19	5
C19orf43	19	1
C19orf44	19	17
C19orf45	19	17
C19orf47	19	9
C19orf48	19	7
C19orf52	19	6
C19orf53	19	6
C19orf54	19	8
C19orf55	19	8
C19orf57	19	30
C19orf59	19	11
C19orf6	19	5
C19orf60	19	3
C19orf66	19	3
C19orf69	19	3
C19orf70	19	1
C19orf71	19	7
C19orf73	19	5
C19orf76	19	1
C19orf77	19	2
C19orf80	19	63
C19orf81	19	3
C1D	2	1
C1GALT1	7	3
C1GALT1C1	X	7
C1QA	1	9
C1QB	1	4
C1QBP	17	7
C1QC	1	5
C1QL3	10	1
C1QL4	12	1
C1QTNF1	17	9
C1QTNF2	5	8
C1QTNF3	5	3
C1QTNF4	11	4
C1QTNF5	11	2
C1QTNF6	22	13
C1QTNF7	4	10
C1QTNF8	16	6
C1QTNF9	13	5
C1QTNF9B	13	3
C1R	12	15
C1RL	12	17
C1S	12	17
C1orf100	1	16
C1orf101	1	21
C1orf105	1	7
C1orf106	1	15
C1orf109	1	7
C1orf110	1	11
C1orf111	1	9
C1orf112	1	24
C1orf114	1	15
C1orf115	1	5
C1orf116	1	29
C1orf122	1	3
C1orf123	1	3
C1orf127	1	39
C1orf129	1	35
C1orf131	1	10
C1orf141	1	8
C1orf145	1	1
C1orf146	1	4
C1orf147	1	1
C1orf158	1	8
C1orf159	1	9
C1orf162	1	9
C1orf167	1	1
C1orf168	1	34
C1orf172	1	15
C1orf173	1	71
C1orf174	1	21
C1orf177	1	26
C1orf185	1	3
C1orf186	1	6
C1orf189	1	6
C1orf192	1	6
C1orf194	1	8
C1orf198	1	6
C1orf200	1	1
C1orf204	1	3
C1orf21	1	3
C1orf210	1	6
C1orf213	1	1
C1orf216	1	11
C1orf220	1	1
C1orf222	1	45
C1orf226	1	5
C1orf227	1	5
C1orf228	1	7
C1orf229	1	1
C1orf27	1	11
C1orf31	1	5
C1orf35	1	3
C1orf43	1	5
C1orf50	1	8
C1orf51	1	11
C1orf52	1	3
C1orf53	1	2
C1orf54	1	3
C1orf56	1	9
C1orf61	1	2
C1orf63	1	11
C1orf64	1	5
C1orf65	1	11
C1orf68	1	8
C1orf74	1	5
C1orf85	1	15
C1orf86	1	5
C1orf87	1	25
C1orf88	1	8
C1orf94	1	16
C2	6	28
C20orf111	20	5
C20orf112	20	5
C20orf118	20	15
C20orf132	20	22
C20orf141	20	6
C20orf144	20	2
C20orf151	20	21
C20orf152	20	31
C20orf160	20	4
C20orf166	20	8
C20orf173	20	3
C20orf194	20	33
C20orf195	20	9
C20orf196	20	7
C20orf197	20	3
C20orf201	20	1
C20orf202	20	3
C20orf24	20	1
C20orf26	20	55
C20orf27	20	5
C20orf43	20	7
C20orf72	20	11
C20orf78	20	1
C20orf79	20	5
C20orf85	20	15
C20orf94	20	11
C20orf96	20	12
C21orf128	21	2
C21orf2	21	15
C21orf33	21	13
C21orf49	21	1
C21orf56	21	10
C21orf58	21	10
C21orf59	21	9
C21orf62	21	9
C21orf7	21	5
C21orf91	21	9
C22orf13	22	5
C22orf15	22	5
C22orf23	22	9
C22orf24	22	8
C22orf25	22	8
C22orf26	22	2
C22orf28	22	8
C22orf29	22	11
C22orf31	22	12
C22orf32	22	4
C22orf39	22	3
C22orf42	22	5
C22orf43	22	10
C22orf46	22	3
C2CD2	21	17
C2CD2L	11	16
C2CD3	11	72
C2CD4A	15	34
C2CD4B	15	11
C2CD4C	19	2
C2CD4D	1	1
C2orf15	2	14
C2orf16	2	53
C2orf18	2	4
C2orf29	2	5
C2orf40	2	8
C2orf42	2	18
C2orf43	2	9
C2orf44	2	13
C2orf47	2	7
C2orf48	2	7
C2orf49	2	8
C2orf50	2	6
C2orf51	2	11
C2orf53	2	13
C2orf54	2	18
C2orf56	2	18
C2orf57	2	21
C2orf61	2	9
C2orf62	2	14
C2orf65	2	19
C2orf66	2	2
C2orf68	2	4
C2orf69	2	8
C2orf70	2	12
C2orf71	2	51
C2orf73	2	16
C2orf74	2	3
C2orf76	2	6
C2orf78	2	18
C2orf80	2	16
C2orf81	2	5
C2orf82	2	2
C2orf83	2	4
C2orf88	2	5
C2orf91	2	1
C3	19	30
C3AR1	12	13
C3orf14	3	4
C3orf15	3	31
C3orf17	3	29
C3orf18	3	6
C3orf19	3	16
C3orf20	3	41
C3orf22	3	5
C3orf24	3	8
C3orf26	3	8
C3orf27	3	4
C3orf30	3	30
C3orf32	3	28
C3orf33	3	13
C3orf35	3	12
C3orf36	3	9
C3orf37	3	8
C3orf38	3	9
C3orf43	3	11
C3orf45	3	4
C3orf52	3	18
C3orf55	3	5
C3orf58	3	4
C3orf62	3	8
C3orf65	3	1
C3orf67	3	27
C3orf70	3	6
C3orf71	3	5
C3orf72	3	6
C3orf77	3	21
C3orf78	3	1
C3orf79	3	4
C3orf80	3	1
C4A	6	2
C4B	6	2
C4BPA	1	13
C4BPB	1	7
C4orf17	4	18
C4orf19	4	15
C4orf21	4	52
C4orf22	4	14
C4orf26	4	12
C4orf27	4	7
C4orf29	4	14
C4orf3	4	5
C4orf32	4	2
C4orf33	4	14
C4orf34	4	3
C4orf36	4	8
C4orf40	4	14
C4orf45	4	15
C4orf46	4	3
C4orf47	4	9
C4orf50	4	2
C4orf51	4	8
C4orf52	4	1
C4orf6	4	13
C5	9	34
C5AR1	19	7
C5orf15	5	6
C5orf20	5	14
C5orf22	5	10
C5orf24	5	1
C5orf25	5	7
C5orf28	5	6
C5orf30	5	5
C5orf34	5	19
C5orf38	5	3
C5orf4	5	16
C5orf42	5	50
C5orf43	5	3
C5orf44	5	7
C5orf45	5	14
C5orf46	5	5
C5orf47	5	2
C5orf48	5	4
C5orf49	5	8
C5orf51	5	4
C5orf52	5	9
C5orf54	5	24
C5orf55	5	4
C5orf56	5	1
C5orf58	5	2
C5orf60	5	2
C5orf62	5	1
C5orf63	5	1
C5orf64	5	8
C5orf65	5	8
C6	5	50
C6orf1	6	8
C6orf10	6	27
C6orf108	6	3
C6orf118	6	23
C6orf120	6	6
C6orf130	6	6
C6orf132	6	16
C6orf136	6	6
C6orf141	6	7
C6orf15	6	15
C6orf162	6	6
C6orf163	6	5
C6orf165	6	32
C6orf170	6	49
C6orf183	6	1
C6orf195	6	10
C6orf201	6	12
C6orf203	6	7
C6orf211	6	12
C6orf222	6	30
C6orf223	6	16
C6orf225	6	5
C6orf226	6	5
C6orf25	6	10
C6orf47	6	11
C6orf48	6	3
C6orf52	6	3
C6orf57	6	6
C6orf58	6	14
C6orf62	6	5
C6orf70	6	29
C6orf89	6	8
C7	5	37
C7orf10	7	14
C7orf23	7	5
C7orf25	7	3
C7orf26	7	9
C7orf29	7	10
C7orf31	7	32
C7orf33	7	7
C7orf34	7	9
C7orf41	7	2
C7orf43	7	7
C7orf45	7	10
C7orf49	7	6
C7orf50	7	2
C7orf53	7	5
C7orf55	7	2
C7orf57	7	14
C7orf59	7	3
C7orf60	7	4
C7orf61	7	5
C7orf62	7	12
C7orf63	7	29
C7orf65	7	6
C7orf66	7	4
C7orf69	7	1
C7orf71	7	4
C7orf72	7	7
C8A	1	24
C8B	1	29
C8G	9	13
C8orf22	8	4
C8orf31	8	7
C8orf33	8	7
C8orf34	8	13
C8orf37	8	9
C8orf4	8	2
C8orf40	8	1
C8orf42	8	7
C8orf44	8	4
C8orf47	8	17
C8orf48	8	12
C8orf58	8	13
C8orf59	8	3
C8orf73	8	21
C8orf74	8	14
C8orf76	8	10
C8orf82	8	3
C8orf86	8	14
C8orf87	8	2
C9	5	36
C9orf11	9	14
C9orf114	9	10
C9orf116	9	3
C9orf117	9	20
C9orf123	9	3
C9orf129	9	7
C9orf131	9	33
C9orf135	9	14
C9orf139	9	10
C9orf142	9	2
C9orf152	9	6
C9orf153	9	8
C9orf156	9	17
C9orf16	9	1
C9orf163	9	2
C9orf169	9	1
C9orf170	9	4
C9orf171	9	18
C9orf173	9	14
C9orf174	9	58
C9orf24	9	7
C9orf3	9	29
C9orf37	9	1
C9orf40	9	1
C9orf41	9	2
C9orf43	9	25
C9orf47	9	8
C9orf50	9	19
C9orf57	9	3
C9orf62	9	3
C9orf64	9	12
C9orf66	9	11
C9orf69	9	4
C9orf72	9	8
C9orf78	9	2
C9orf84	9	52
C9orf85	9	5
C9orf89	9	9
C9orf9	9	7
C9orf91	9	10
C9orf96	9	23
CA1	8	13
CA10	17	6
CA11	19	5
CA12	15	14
CA13	8	5
CA14	1	13
CA2	8	3
CA3	8	9
CA4	17	8
CA5A	16	4
CA5B	X	5
CA6	1	14
CA7	16	1
CA8	8	4
CA9	9	9
CAAP1	9	7
CAB39	2	3
CAB39L	13	11
CABIN1	22	46
CABLES1	18	9
CABLES2	20	6
CABP1	12	4
CABP2	11	7
CABP4	11	14
CABP5	19	9
CABP7	22	2
CABS1	4	7
CABYR	18	22
CACFD1	9	5
CACHD1	1	30
CACNA1A	19	16
CACNA1B	9	25
CACNA1C	12	20
CACNA1D	3	31
CACNA1E	1	18
CACNA1F	X	26
CACNA1G	17	26
CACNA1H	16	52
CACNA1I	22	21
CACNA1S	1	509
CACNA2D1	7	10
CACNA2D2	3	13
CACNA2D3	3	18
CACNA2D4	12	49
CACNB1	17	8
CACNB2	10	22
CACNB3	12	9
CACNB4	2	6
CACNG1	17	10
CACNG2	22	1
CACNG3	16	1
CACNG4	17	9
CACNG5	17	14
CACNG6	19	5
CACNG7	19	1
CACNG8	19	1
CACTIN	19	5
CACUL1	10	1
CACYBP	1	3
CAD	2	27
CADM1	11	6
CADM2	3	6
CADM3	1	4
CADM4	19	5
CADPS	3	19
CADPS2	7	22
CAGE1	6	23
CALB1	8	2
CALB2	16	5
CALCA	11	8
CALCB	11	1
CALCOCO1	12	23
CALCOCO2	17	15
CALCR	7	20
CALCRL	2	4
CALD1	7	23
CALHM1	10	19
CALHM2	10	8
CALHM3	10	6
CALML3	10	1
CALML4	15	8
CALML5	10	8
CALML6	1	8
CALN1	7	3
CALR	19	9
CALR3	19	17
CALU	7	4
CALY	10	4
CAMK1	3	6
CAMK1D	10	132
CAMK1G	1	12
CAMK2A	5	3
CAMK2B	7	1
CAMK2D	4	5
CAMK2G	10	5
CAMK4	5	11
CAMKK1	17	9
CAMKK2	12	11
CAMKMT	2	6
CAMKV	3	3
CAMLG	5	5
CAMP	3	3
CAMSAP1	9	23
CAMSAP2	1	27
CAMSAP3	19	10
CAMTA1	1	39
CAMTA2	17	22
CAND1	12	10
CAND2	3	50
CANT1	17	11
CANX	5	6
CAP1	1	10
CAP2	6	11
CAPG	2	17
CAPN1	11	17
CAPN10	2	23
CAPN11	6	23
CAPN12	19	32
CAPN13	2	34
CAPN14	2	19
CAPN2	1	29
CAPN3	15	38
CAPN5	11	21
CAPN6	X	10
CAPN7	3	18
CAPN8	1	9
CAPN9	1	45
CAPNS1	19	4
CAPNS2	16	7
CAPRIN1	11	6
CAPRIN2	12	29
CAPS	19	10
CAPS2	12	17
CAPSL	5	8
CAPZA1	1	10
CAPZA2	7	4
CAPZA3	12	14
CAPZB	1	3
CARD10	22	20
CARD11	7	28
CARD14	17	43
CARD16	11	9
CARD17	11	13
CARD18	11	6
CARD6	5	48
CARD8	19	21
CARD9	9	19
CARHSP1	16	7
CARKD	13	13
CARM1	19	4
CARNS1	11	13
CARS	11	25
CARS2	13	25
CARTPT	5	6
CASC1	12	27
CASC3	17	4
CASC4	15	12
CASC5	15	62
CASD1	7	17
CASK	X	2
CASKIN1	16	13
CASKIN2	17	35
CASP1	11	13
CASP10	2	18
CASP12	11	7
CASP14	19	17
CASP2	7	7
CASP3	4	5
CASP4	11	18
CASP5	11	23
CASP6	4	4
CASP7	10	15
CASP8	2	18
CASP9	1	14
CASQ1	1	19
CASQ2	1	19
CASR	3	16
CASS4	20	30
CAST	5	35
CASZ1	1	30
CAT	11	23
CATSPER1	11	28
CATSPER2	15	12
CATSPER3	5	21
CATSPER4	1	21
CATSPERB	14	23
CATSPERD	19	41
CATSPERG	19	33
CAV1	7	4
CAV2	7	6
CAV3	3	7
CBFA2T2	20	7
CBFA2T3	16	19
CBFB	16	3
CBL	11	19
CBLB	3	21
CBLC	19	9
CBLL1	7	4
CBLN1	16	1
CBLN3	14	2
CBR1	21	9
CBR3	21	10
CBR4	4	12
CBS	21	23
CBWD6	9	1
CBX2	17	14
CBX3	7	1
CBX4	17	2
CBX6	22	3
CBX7	22	1
CBX8	17	6
CBY1	22	3
CBY3	5	6
CC2D1A	19	41
CC2D1B	1	34
CC2D2A	4	47
CC2D2B	10	11
CCAR1	10	9
CCBE1	18	19
CCBL1	9	15
CCBL2	1	18
CCBP2	3	13
CCDC101	16	1
CCDC102A	16	7
CCDC102B	18	27
CCDC103	17	6
CCDC104	2	9
CCDC105	19	19
CCDC106	19	5
CCDC107	9	10
CCDC108	2	74
CCDC109B	4	11
CCDC11	18	25
CCDC110	4	36
CCDC111	4	22
CCDC112	5	11
CCDC113	16	17
CCDC114	19	26
CCDC115	2	4
CCDC116	22	37
CCDC117	22	4
CCDC12	3	8
CCDC120	X	7
CCDC121	2	5
CCDC122	13	6
CCDC124	19	7
CCDC125	5	22
CCDC126	7	1
CCDC127	5	10
CCDC129	7	47
CCDC13	3	29
CCDC130	19	12
CCDC132	7	15
CCDC134	22	4
CCDC135	16	35
CCDC136	7	29
CCDC137	17	13
CCDC138	2	22
CCDC14	3	24
CCDC140	2	5
CCDC141	2	38
CCDC142	2	23
CCDC144NL	17	5
CCDC146	7	25
CCDC147	10	38
CCDC148	2	33
CCDC149	4	11
CCDC15	11	25
CCDC150	2	41
CCDC151	19	12
CCDC152	5	3
CCDC153	11	10
CCDC154	16	15
CCDC155	19	13
CCDC157	22	33
CCDC158	4	49
CCDC159	19	5
CCDC160	X	3
CCDC163P	1	1
CCDC164	2	38
CCDC166	8	1
CCDC167	6	3
CCDC168	13	40
CCDC169	13	5
CCDC169-SOHLH2	13	13
CCDC17	1	13
CCDC170	6	43
CCDC171	9	57
CCDC172	10	4
CCDC173	2	23
CCDC18	1	36
CCDC19	1	27
CCDC22	X	23
CCDC23	1	3
CCDC24	1	11
CCDC25	8	1
CCDC27	1	40
CCDC28A	6	10
CCDC28B	1	6
CCDC3	10	6
CCDC30	1	20
CCDC33	15	33
CCDC34	11	18
CCDC36	3	12
CCDC37	3	27
CCDC38	12	28
CCDC39	3	30
CCDC40	17	59
CCDC41	12	22
CCDC42	17	16
CCDC42B	12	5
CCDC43	17	4
CCDC47	17	7
CCDC48	3	8
CCDC50	3	17
CCDC51	3	13
CCDC53	12	3
CCDC54	3	18
CCDC57	17	32
CCDC58	3	2
CCDC59	12	10
CCDC6	10	6
CCDC60	12	32
CCDC61	19	20
CCDC62	12	21
CCDC63	12	27
CCDC64	12	6
CCDC64B	16	7
CCDC65	12	25
CCDC66	3	38
CCDC67	11	21
CCDC68	18	13
CCDC69	5	15
CCDC7	10	24
CCDC70	13	16
CCDC71	3	12
CCDC73	11	22
CCDC74A	2	5
CCDC74B	2	2
CCDC75	2	12
CCDC77	12	25
CCDC78	16	29
CCDC79	16	7
CCDC8	19	24
CCDC80	3	25
CCDC81	11	24
CCDC82	11	20
CCDC83	11	17
CCDC84	11	10
CCDC85A	2	7
CCDC85C	14	4
CCDC86	11	11
CCDC87	11	18
CCDC88A	2	25
CCDC88B	11	31
CCDC88C	14	59
CCDC89	11	7
CCDC9	19	12
CCDC90A	6	4
CCDC90B	11	12
CCDC91	12	19
CCDC92	12	12
CCDC93	2	17
CCDC94	19	5
CCDC96	4	9
CCDC97	19	16
CCDC99	5	42
CCER1	12	4
CCHCR1	6	31
CCIN	9	22
CCKAR	4	13
CCKBR	11	8
CCL1	17	3
CCL11	17	5
CCL13	17	3
CCL14	17	10
CCL15	17	7
CCL16	17	5
CCL17	16	2
CCL18	17	2
CCL19	9	2
CCL2	17	1
CCL20	2	2
CCL21	9	2
CCL22	16	5
CCL23	17	5
CCL24	7	4
CCL25	19	7
CCL26	7	3
CCL27	9	3
CCL28	5	5
CCL3	17	3
CCL4	17	2
CCL5	17	1
CCL7	17	5
